id,number,group,name,brand,category,type,is_defective,is_favorite
resource-0217-tma,0217-TMA-,TMA,KLEPELMAAIER PERFECT ZW -210 CM,PERFECT,werktuig,KLEPEL MAAIER GRACHTEN,false,false
resource-0216-trc,0216-TRC,TRC,RANSOMES KANTENMAAIER,RANSOMES,werktuig,COMMANDER 3520,false,false
resource-0215-mc5,0215-MC5-,MC5,5 Delige cylindermaaier 350 cm werkbreedte,JOHN DEERE,werktuig,1905 4WD,false,false
resource-0208-trw,0208 TRW,TRW,MOTORWEL PASQUALI,PASQUALI,machine,TRW04,false,false
resource-0207-tsl,0207-TSL-,TSL,UITVLAKSLEEP 400 CM V26,EIGEN CONSTRUCTIE,machine,,false,false
resource-0206-tsl,0206-TSL-,TSL,SLEEP 260CM MET ROL 30CM V24,EIGEN CONSTRUCTIE,machine,,false,false
resource-0205-tal,0205-TAL-,TAL,DIEPWOELER,EVERS,machine,TMA10 DIEPWOELER EVERS WB275,false,false
resource-0200-tal,0200-TAL-,TAL,ROTOREG LEMKEN ZIRKON + VERKRUIMELAAR,LEMKEN,machine,ROTOREG ZWAAR,false,false
resource-0193-trw,0193-TRW-,TRW,3 DELIGE MOTORWEL SABO,SABO,machine,TRW03 SABO,false,false
resource-0191-tve,0191-TVE-,TVE,MUSTANG VERTIDRAIN 7117 WD15 WB170,VERTIDRAIN,machine,TMV08 7117,false,false
resource-0190-tdu,0190-TDU-,TDU,DUMPER AANHANGWAGEN OP LAGEDRUK BANDEN TANDEM 24 TON,RECORD KIPWAGEN 26T,voertuig,DUMPER 26T,false,false
resource-0183-whm,0183-WHM-,WHM,KOLOMBOORMACHINE ATELIER,PKD,machine,Boormachine PKD VS 32 B,false,false
resource-0182-whm,0182-WHM-,WHM,METAALLINTZAAG ATELIER PKD,PHOENIX,machine,FMB Lintzaagmachine Phoenix,false,false
resource-0181-vcb,0181-VCB-,VCB,OPEN CAMIONET SPRINTER B,MERCEDES,voertuig,413 CDI OPEN LAADBAK,false,false
resource-0177-tve,0177-TVE-,TVE,VERTIDRAIN 7316 WD30 WB160,VERTIDRAIN,machine,7316 160/30,false,false
resource-0171-whm,0171-WHM-,WHM,4 PALENHEFBRUG ATELIER 4.5T,KONI,machine,WHM11 4 PALENBRUG ATELIER 4.5T,false,false
resource-0170-vvc,0170-VVC-,VVC,VOLVO CONTAINER VRACHTAGEN C,VOLVO,voertuig,FM12 6x2,false,false
resource-0169-vaz,0169-VAZ-,VAZ,SEMIDIEPLADER 26TON,GHEYSEN VERPOORT,aanhanger,VAZ05 OPLIGGER DIEPLADER,false,false
resource-0168-trc,0168-TRC-,TRC,COMPAKT TRAKTOR 38 PK,NEW HOLLAND,machine,TRC03 FORD 1920 VERSMALT,false,false
resource-0161-kmb,0161-KMB-,KMB,TRILPLAAT REVO,HONDA,werktuig,KMB TRILPLAAT,false,false
resource-0157-whm,0157-WHM-,WHM,BANDSCHUURMACHINE ATELIER,,machine,WHM097 BANDSCHUURM. BG 752,false,false
resource-0156-whm,0156-WHM-,WHM,SLIJPMOLEN ATELIER,OERTZEN,machine,WHM08 SLIJPMOLEN ATELIER,false,false
resource-0149-tsp,0149-TSP-,TSP,SPROEIVAT 400L HARDY MET 6M BOOM,HARDI,machine,HARDI 400L MET 6M BOOM EN 2 HASPELS,false,false
resource-0148-tsp,0148-TSP-,TSP,SPROEIVAT 800L MET HYDR. BOOM 12M,HARDI,machine,TMS02 HARDI 800L HYD 12M B,false,false
resource-0143-has,0143-HAS-,HAS,BEREGENINGSHASPEL 50/160 + 100 M DARM V3,RAINBOY,machine,HASPEL 50/160,false,false
resource-0141-tza,0141-TZA-,TZA,ROTOREG MET KOOIROL + DRIEPUNTSZAAIMACHINE WB220 HUMA,SICMA,machine,ER2000 F715-722,false,false
resource-0135-whm,0135-WHM-,WHM,WARMELUCHTBLAZER ATELIER,,machine,WHM04 WARMELUCHTBLAZER,false,false
resource-0131-tma,0131-TMA-,TMA,PANDA KLEPELMAAIER MET OPVANG WB180 3M3,SCHEPERS,werktuig,TMA16 PANDA,false,false
resource-0128-mr1,0128-MR1-,MR1,Rottatieve frontmaaier werkbreedte 180 cm,ROBERINE,werktuig,1500 SABO 2WD,false,false
resource-0124-val,0124-VAL-,VAL,AANHANGWAGEN 500KG + HUIF,DELVAN,aanhanger,ANONIEM MET HUIF OVERKAPPING,false,false
resource-0123-val,0123-VAL-,VAL,AANHANGWAGEN 500KG,DELVAN,aanhanger,VAL01 ANONIEM,false,false
resource-0121-tve,0121-TVE-,TVE,VERTIDRAIN 7316 WB 160CM DIEPTE 30 CM,VERTIDRAIN,machine,7316,false,false
resource-0120-tdu,0120-TDU-,TDU,KIPWAGEN OP GAZONBANDEN 6 TON,JOSKIN 6 TON,voertuig,TMA01KIPWAGEN JOSKIN 6 TON,false,false
resource-0110-tal,0110-TAL-,TAL,VEEGBORSTEL STH WB 180 2 M2,SCHEPERS,machine,TMA22 SCHEPERS T180 STH,false,false
resource-0108-tal,0108-TAL-,TAL,VEEGMACHINE IN DERDEPUNT WB 185,BEMA,machine,TMA11 BEMA VEEGMACHIEN,false,false
resource-0100-has,0100-HAS-,HAS,BEREGENINGSHASPEL 50/160 + 100 M DARM V2,RAINBOY,machine,HASPEL 50/160,false,false
resource-0099-has,0099-HAS-,HAS,BEREGENINGSHASPEL 55/110+ 100 M DARM,RAINBOY,machine,HASPEL 55-110,false,false
resource-0097-tza,0097-TZA-,TZA,ZAAIMACHINE MET PAKKERROL WB 180,LAND PRIDE,machine,TMZ03 LAND PRIDE ZAAIMACHINE,false,false
resource-0087-has,0087-HAS-,HAS,BEREGENINGSHASPEL+DRAAIKRANS 60/210 + 100 DARM,RAINBOY,machine,RAINSTAR 65/250,false,false
resource-0086-has,0086-HAS-,HAS,BEREGENINGSHASPEL 50/160 + 100 M DARM V5,RAINBOY,machine,HAS06 HASPEL 50/160,false,false
